iter	Passed	Remaining
541	28520	24100
542	28568	24043
543	28626	23996
544	28677	23941
545	28735	23893
546	28788	23840
547	28833	23782
548	28887	23730
549	28929	23669
550	28987	23621
551	29045	23573
552	29086	23510
553	29137	23457
554	29195	23409
555	29254	23361
556	29308	23309
557	29352	23250
558	29393	23188
559	29449	23139
560	29509	23092
561	29560	23038
562	29600	22976
563	29645	22917
564	29694	22862
565	29758	22818
566	29823	22775
567	29885	22729
568	29947	22684
569	30009	22638
570	30065	22588
571	30121	22538
572	30179	22490
573	30252	22452
574	30311	22404
575	30369	22355
576	30412	22295
577	30474	22249
578	30509	22183
579	30560	22130
580	30594	22063
581	30651	22014
582	30710	21966
583	30753	21906
584	30800	21849
585	30852	21796
586	30899	21740
587	30945	21683
588	30999	21630
589	31039	21570
590	31103	21525
591	31161	21475
592	31216	21424
593	31267	21371
594	31322	21320
595	31384	21274
596	31442	21225
597	31498	21174
598	31551	21122
599	31605	21070
600	31664	21021
601	31724	20973
602	31775	20920
603	31820	20862
604	31878	20813
605	31927	20757
606	31981	20706
607	32034	20653
608	32080	20596
609	32127	20540
610	32181	20488
611	32219	20427
612	32276	20376
613	32338	20329
614	32397	20281
615	32454	20231
616	32508	20179
617	32569	20131
618	32628	20083
619	32669	20023
620	32709	19962
621	32768	19913
622	32824	19863
623	32874	19809
624	32938	19763
625	33018	19726
626	33081	19679
627	33130	19624
628	33191	19577
629	33243	19523
630	33312	19480
631	33379	19436
632	33461	19400
633	33531	19357
634	33606	19316
635	33669	19270
636	33718	19215
637	33776	19164
638	33830	19112
639	33877	19056
640	33923	18999
641	33966	18940
642	34009	18882
643	34063	18830
644	34115	18776
645	34167	18723
646	34222	18671
647	34280	18621
648	34336	18570
649	34389	18517
650	34440	18463
651	34499	18413
652	34556	18363
653	34596	18303
654	34645	18248
655	34701	18196
656	34740	18137
657	34793	18084
658	34844	18030
659	34896	17977
660	34952	17925
661	35011	17875
662	35070	17826
663	35126	17774
664	35176	17720
665	35221	17663
666	35267	17607
667	35324	17556
668	35361	17495
669	35407	17439
670	35454	17383
671	35507	17330
672	35551	17273
673	35605	17221
674	35648	17164
675	35702	17111
676	35753	17058
677	35800	17002
678	35854	16950
679	35901	16894
680	35960	16844
681	36012	16791
682	36062	16737
683	36120	16687
684	36177	16636
685	36236	16586
686	36291	16534
687	36337	16478
688	36396	16428
689	36449	16375
690	36499	16321
691	36549	16267
692	36596	16212
693	36639	16155
694	36695	16103
695	36754	16053
696	36810	16002
697	36865	15950
698	36916	15896
699	36966	15842
700	37016	15788
701	37073	15737
702	37130	15686
703	37193	15638
704	37237	15581
705	37290	15528
706	37353	15480
707	37405	15427
708	37457	15374
709	37510	15321
710	37568	15270
711	37626	15219
712	37669	15162
713	37726	15111
714	37773	15056
715	37828	15004
716	37869	14947
717	37923	14894
718	37978	14842
719	38037	14792
720	38085	14737
721	38120	14678
722	38172	14624
723	38217	14569
724	38278	14519
725	38341	14470
726	38392	14417
727	38447	14364
728	38505	14314
729	38552	14259
730	38603	14205
731	38654	14152
732	38710	14100
733	38771	14050
734	38832	14000
735	38886	13948
736	38932	13893
737	38990	13842
738	39033	13785
739	39076	13729
740	39127	13676
741	39182	13624
742	39238	13572
743	39285	13517
744	39331	13462
745	39384	13409
746	39441	13358
747	39498	13306
748	39544	13251
749	39595	13198
750	39647	13145
751	39706	13094
752	39760	13042
753	39814	12989
754	39878	12940
755	39938	12890
756	39994	12838
757	40044	12784
758	40097	12731
759	40155	12680
760	40209	12628
761	40260	12574
762	40313	12522
763	40362	12467
764	40411	12413
765	40460	12359
766	40510	12306
767	40554	12250
768	40615	12200
769	40666	12147
770	40717	12093
771	40764	12039
772	40823	11988
773	40879	11936
774	40927	11882
775	40983	11830
776	41040	11778
777	41093	11725
778	41141	11671
779	41182	11615
780	41240	11564
781	41288	11510
782	41344	11458
783	41400	11406
784	41463	11356
785	41531	11307
786	41587	11255
787	41638	11202
788	41691	11149
789	41747	11097
790	41792	11042
791	41845	10989
792	41896	10936
793	41942	10881
794	41996	10829
795	42049	10776
796	42090	10720
797	42142	10667
798	42198	10615
799	42255	10563
800	42314	10512
801	42369	10460
802	42424	10407
803	42485	10357
804	42542	10305
805	42592	10251
806	42648	10199
807	42706	10148
808	42748	10092
809	42802	10040
810	42847	9985
811	42900	9932
812	42961	9881
813	43016	9829
814	43076	9778
815	43138	9727
816	43189	9673
817	43247	9622
818	43285	9566
819	43340	9513
820	43408	9464
821	43459	9410
822	43567	9369
823	43652	9323
824	43732	9276
825	43806	9228
826	43863	9175
827	43922	9124
828	44039	9084
829	44159	9044
830	44255	9000
831	44330	8951
832	44398	8900
833	44467	8850
834	44522	8797
835	44580	8745
836	44646	8694
837	44718	8644
838	44772	8591
839	44837	8540
840	44904	8489
841	44970	8438
842	45032	8386
843	45095	8335
844	45163	8284
845	45240	8235
846	45295	8182
847	45351	8129
848	45408	8076
849	45477	8025
850	45530	7971
851	45589	7919
852	45655	7867
853	45706	7813
854	45757	7760
855	45814	7707
856	45881	7655
857	45953	7605
858	46018	7553
859	46081	7501
860	46152	7450
861	46221	7399
862	46292	7348
863	46355	7296
864	46426	7245
865	46492	7194
866	46557	7142
867	46610	7088
868	46675	7036
869	46748	6985
870	46816	6933
871	46867	6879
872	46936	6828
873	47006	6776
874	47060	6722
875	47126	6670
876	47186	6617
877	47244	6564
878	47306	6512
879	47372	6459
880	47453	6409
881	47531	6359
882	47603	6307
883	47654	6253
884	47732	6202
885	47801	6150
886	47860	6097
887	47927	6044
888	47978	5990
889	48051	5938
890	48106	5885
891	48171	5832
892	48224	5778
893	48303	5727
894	48360	5673
895	48432	5621
896	48510	5570
897	48570	5516
898	48639	5464
899	48716	5412
900	48786	5360
901	48857	5308
902	48910	5253
903	48961	5199
904	49027	5146
905	49095	5093
906	49148	5039
907	49225	4987
908	49289	4934
909	49354	4881
910	49408	4826
911	49476	4774
912	49535	4720
913	49594	4666
914	49662	4613
915	49711	4558
916	49765	4504
917	49834	4451
918	49907	4398
919	49972	4345
920	50045	4292
921	50121	4240
922	50193	4187
923	50256	4133
924	50333	4081
925	50399	4027
926	50451	3972
927	50502	3918
928	50549	3863
929	50607	3809
930	50681	3756
931	50726	3701
932	50775	3646
933	50843	3592
934	50902	3538
935	50965	3484
936	51054	3432
937	51124	3379
938	51191	3325
939	51252	3271
940	51326	3218
941	51398	3164
942	51460	3110
943	51525	3056
944	51581	3002
945	51661	2948
946	51740	2895
947	51812	2842
948	51885	2788
949	51958	2734
950	52018	2680
951	52090	2626
952	52158	2572
953	52216	2517
954	52287	2463
955	52366	2410
956	52436	2356
957	52505	2301
958	52557	2246
959	52618	2192
960	52682	2138
961	52759	2084
962	52819	2029
963	52884	1974
964	52946	1920
965	53027	1866
966	53110	1812
967	53181	1758
968	53237	1703
969	53300	1648
970	53367	1593
971	53420	1538
972	53474	1483
973	53547	1429
974	53604	1374
975	53679	1319
976	53758	1265
977	53837	1211
978	53899	1156
979	53961	1101
980	54027	1046
981	54114	991
982	54191	937
983	54262	882
984	54333	827
985	54399	772
986	54457	717
987	54530	662
988	54600	607
989	54660	552
990	54727	497
991	54797	441
992	54865	386
993	54929	331
994	54985	276
995	55039	221
996	55110	165
997	55163	110
998	55228	55
999	55301	0
